date,equity,dd,positions,cash,KOSPI,KOSDAQ
2020-04-06,106513548.44,-0.05116551943677339,3,93067769.96,1791.88,597.21
2020-04-10,107153105.59,-0.045468273545537397,5,85792246.17,1860.7,611.26
2020-04-13,107085034.64,-0.04607465710359793,3,90368860.58,1825.76,596.71
2020-04-17,107577678.28,-0.041686133022781235,3,90368860.58,1914.53,634.79
2020-04-20,107496771.1,-0.042406863138653605,3,90368860.58,1898.36,637.82
2020-04-24,107407077.2,-0.043205866328976605,3,90368860.58,1889.01,632.96
2020-04-27,107540527.45,-0.04201707672902155,4,85912135.38,1922.77,646.86
2020-05-01,107043084.13,-0.04644835689060334,4,82722354.09,1947.56,645.18
2020-05-04,106508692.98,-0.05120877241195321,4,82722354.09,1895.37,641.91
2020-05-08,107922498.05,-0.03861444034004069,4,82722354.09,1945.82,682.3
2020-05-11,108672779.64,-0.03193084888007891,4,82722354.09,1935.4,685.04
2020-05-15,109367621.83,-0.025741117732464014,4,80234423.27,1927.28,691.93
2020-05-18,109380170.24,-0.02562933510707388,4,80234423.27,1937.11,690.85
2020-05-22,108612847.22,-0.03246473351196344,5,69373003.78,1970.13,708.58
2020-05-25,111022906.62,-0.010995657582963947,6,61562606.82,1994.6,719.89
2020-05-29,109888382.53,-0.021102123768606096,6,61562606.82,2029.6,713.68
2020-06-01,112729708.0,0.0,6,61562606.82,2065.08,735.72
2020-06-05,113540319.31,0.0,7,54298685.5,2181.87,749.31
2020-06-08,114113879.68,0.0,8,47700459.37,2184.29,753.04
2020-06-12,115742617.29,0.0,5,68527170.16,2132.3,746.06
2020-06-15,113678215.04,-0.017836146255683083,5,68527170.16,2030.82,693.15
2020-06-19,115959978.44,0.0,7,55949661.01,2141.32,742.03
2020-06-22,117677464.57,0.0,7,55949661.01,2126.73,751.64
2020-06-26,117336671.28,-0.0028959944985667008,6,60424944.98,2134.65,750.58
2020-06-29,117687019.13,0.0,5,68966931.59,2093.48,734.69
2020-07-03,117425032.7,-0.0022261285223869054,5,68966931.59,2152.41,752.18
2020-07-06,117890275.13,0.0,5,68966931.59,2187.93,759.9
2020-07-10,121513217.23,0.0,6,63486247.18,2150.25,772.81
2020-07-13,121531329.12,0.0,6,63486247.18,2186.06,781.19
2020-07-17,121788082.2,0.0,5,68528476.84,2201.19,783.22
2020-07-20,121855590.7,0.0,5,68528476.84,2198.2,781.96
2020-07-24,130458684.19,0.0,6,64075527.12,2200.44,794.8
2020-07-27,133182987.99,0.0,6,64075527.12,2217.86,801.23
2020-07-31,129326290.48,-0.02895788394753218,3,83538799.27,2249.37,815.3
2020-08-03,130375551.72,-0.02107954110633703,3,83538799.27,2251.04,827.57
2020-08-07,136005905.84,0.0,4,77340020.0,2351.67,857.63
2020-08-10,141767283.52,0.0,5,71670906.51,2386.38,862.76
2020-08-14,140876872.92,-0.00628079044679164,6,62486325.24,2407.49,835.03
2020-08-17,140876872.92,-0.00628079044679164,6,62486325.24,2407.49,835.03
2020-08-21,140413966.9,-0.009546043250585945,6,63379619.71,2304.59,796.01
2020-08-24,141889790.98,0.0,6,63379619.71,2329.83,815.74
2020-08-28,142776046.46,0.0,7,52666527.88,2353.8,841.3
2020-08-31,143373813.18,0.0,8,44288570.49,2326.17,848.24
2020-09-04,144801476.78,0.0,5,65742998.79,2368.25,866.04
2020-09-07,143271427.97,-0.010566527662729808,4,73450719.59,2384.22,878.88
2020-09-11,138057460.69,-0.04657422175497794,4,73450719.59,2396.69,888.44
2020-09-14,137184603.45,-0.05260217989055793,4,73450719.59,2427.91,894.17
2020-09-18,135662430.29,-0.06311431825992464,5,65275978.9,2412.4,888.88
2020-09-21,132064408.6,-0.08796228093275393,2,108489614.17,2389.39,866.99
2020-09-25,131285870.46,-0.0933388707114815,0,131285870.46,2278.79,808.28
2020-09-28,131124630.75,-0.09445239326377541,1,126381052.08,2308.08,835.91
2020-10-02,131149420.13,-0.09428119763406739,1,126381052.08,2327.89,848.15
2020-10-05,131608349.87,-0.09111182567595355,1,126381052.08,2358.0,858.39
2020-10-09,132439229.06,-0.08537376824396781,1,126381052.08,2391.96,871.62
2020-10-12,132470324.51,-0.08515902285123089,1,126381052.08,2403.73,873.5
2020-10-16,131893645.21,-0.0891415740849878,1,126381052.08,2341.53,833.84
2020-10-19,131738494.12,-0.09021304858545653,0,131738494.12,2346.74,822.25
2020-10-23,131738494.12,-0.09021304858545653,0,131738494.12,2360.81,807.98
2020-10-26,131738494.12,-0.09021304858545653,0,131738494.12,2343.91,778.02
2020-10-30,131738494.12,-0.09021304858545653,0,131738494.12,2267.15,792.65
2020-11-02,131738494.12,-0.09021304858545653,0,131738494.12,2300.16,802.95
2020-11-06,131738494.12,-0.09021304858545653,0,131738494.12,2416.5,836.78
2020-11-09,131738494.12,-0.09021304858545653,0,131738494.12,2447.2,851.21
2020-11-13,131738494.12,-0.09021304858545653,0,131738494.12,2493.87,839.14
2020-11-16,131781218.6,-0.08991799303112058,4,106504061.92,2543.03,847.33
2020-11-20,131745143.68,-0.09016712667811233,3,112743368.09,2553.5,870.18
2020-11-23,131626649.28,-0.09098544982394619,3,112743368.09,2602.59,873.29
2020-11-27,131527497.5,-0.09167019270229848,2,117679845.4,2633.45,885.56
2020-11-30,131218786.23,-0.09380215486777443,2,117679845.4,2591.34,886.11
2020-12-04,130448191.16,-0.09912388975015263,4,105733528.06,2731.45,913.76
2020-12-07,131033184.96,-0.0950839185218979,4,105733528.06,2745.44,926.88
2020-12-11,132263280.72,-0.08658886869675753,4,105347647.69,2770.06,928.44
2020-12-14,133197801.78,-0.08013505979382873,4,105347647.69,2762.2,929.54
2020-12-18,136910931.41,-0.05449216089134423,4,105347647.69,2772.18,947.24
2020-12-21,135738333.15,-0.06259013258386736,4,105347647.69,2778.65,953.58
2020-12-25,134991171.92,-0.06775003320515183,4,104615855.52,2806.86,928.68
2020-12-28,134509480.27,-0.07107659907113273,3,108444167.48,2808.6,927.0
2021-01-01,136150144.39,-0.059746161312596024,3,108444167.48,2873.47,968.42
2021-01-04,137051639.81,-0.053520427707892004,2,114954434.05,2944.45,977.62
2021-01-08,136560517.56,-0.056912121362689305,5,87768411.55,3152.18,987.79
2021-01-11,135553317.17,-0.06386785422120345,5,87504761.37,3148.45,976.63
2021-01-15,132688713.97,-0.0836508237302247,3,106392238.39,3085.9,964.44
2021-01-18,131926584.77,-0.08891409325583821,2,112268567.14,3013.93,944.67
2021-01-22,134196182.53,-0.0732402354301459,4,97958428.49,3140.63,979.98
2021-01-25,136588223.44,-0.05672078436381267,4,97958428.49,3208.99,999.3
2021-01-29,131501566.83,-0.09184927008863897,3,103355897.32,2976.21,928.73
2021-02-01,133241258.75,-0.07983494565848726,3,103355897.32,3056.53,956.92
2021-02-05,132980631.87,-0.08163483669410132,3,103355897.32,3120.63,967.42
2021-02-08,132846709.61,-0.08255970474778473,3,103355897.32,3091.24,960.78
2021-02-12,133893325.7,-0.07533176679249609,3,103355897.32,3100.58,964.31
2021-02-15,133424624.0,-0.0785686239739467,3,103355897.32,3147.0,981.97
2021-02-19,133432234.33,-0.07851606698233848,3,103355897.32,3107.62,965.11
2021-02-22,132573192.75,-0.08444861407441784,2,111791442.88,3079.75,954.29
2021-02-26,131363192.83,-0.09280488188954783,1,119702148.35,3012.95,913.94
2021-03-01,131363192.83,-0.09280488188954783,1,119702148.35,3012.95,913.94
2021-03-05,130690440.26,-0.09745091579030785,0,130690440.26,3026.26,923.48
2021-03-08,130690440.26,-0.09745091579030785,0,130690440.26,2996.11,904.77
2021-03-12,130690440.26,-0.09745091579030785,0,130690440.26,3054.39,925.49
2021-03-15,130690440.26,-0.09745091579030785,0,130690440.26,3045.71,926.9
2021-03-19,130690440.26,-0.09745091579030785,0,130690440.26,3039.53,952.11
2021-03-22,130690440.26,-0.09745091579030785,0,130690440.26,3035.46,955.38
2021-03-26,130690440.26,-0.09745091579030785,0,130690440.26,3041.01,956.7
2021-03-29,130690440.26,-0.09745091579030785,0,130690440.26,3036.04,954.1
2021-04-02,130690440.26,-0.09745091579030785,0,130690440.26,3112.8,970.09
2021-04-05,130690440.26,-0.09745091579030785,0,130690440.26,3120.83,969.77
2021-04-09,130690440.26,-0.09745091579030785,0,130690440.26,3131.88,989.39
2021-04-12,130690440.26,-0.09745091579030785,0,130690440.26,3135.59,1000.65
2021-04-16,130690440.26,-0.09745091579030785,0,130690440.26,3198.62,1021.62
2021-04-19,130690440.26,-0.09745091579030785,0,130690440.26,3198.84,1029.46
2021-04-23,130690440.26,-0.09745091579030785,0,130690440.26,3186.1,1026.82
2021-04-26,130690440.26,-0.09745091579030785,0,130690440.26,3217.53,1030.06
2021-04-30,130690440.26,-0.09745091579030785,0,130690440.26,3147.86,983.45
2021-05-03,130690440.26,-0.09745091579030785,0,130690440.26,3127.2,961.81
2021-05-07,130690440.26,-0.09745091579030785,0,130690440.26,3197.2,978.3
2021-05-10,130690440.26,-0.09745091579030785,0,130690440.26,3249.3,992.8
2021-05-14,130690440.26,-0.09745091579030785,0,130690440.26,3153.32,966.72
2021-05-17,130690440.26,-0.09745091579030785,0,130690440.26,3134.52,962.5
2021-05-21,130690440.26,-0.09745091579030785,0,130690440.26,3156.42,965.63
2021-05-24,130690440.26,-0.09745091579030785,0,130690440.26,3144.3,948.37
2021-05-28,130690440.26,-0.09745091579030785,0,130690440.26,3188.73,977.46
2021-05-31,130690440.26,-0.09745091579030785,0,130690440.26,3203.92,981.78
2021-06-04,130690440.26,-0.09745091579030785,0,130690440.26,3240.08,987.58
2021-06-07,130690440.26,-0.09745091579030785,0,130690440.26,3252.12,985.86
2021-06-11,130690440.26,-0.09745091579030785,0,130690440.26,3249.32,991.13
2021-06-14,130690440.26,-0.09745091579030785,0,130690440.26,3252.13,997.41
2021-06-18,130690440.26,-0.09745091579030785,0,130690440.26,3267.93,1015.88
2021-06-21,130690440.26,-0.09745091579030785,0,130690440.26,3240.79,1010.99
2021-06-25,130690440.26,-0.09745091579030785,0,130690440.26,3302.84,1012.13
2021-06-28,130690440.26,-0.09745091579030785,0,130690440.26,3301.89,1017.91
2021-07-02,130690440.26,-0.09745091579030785,0,130690440.26,3281.78,1038.18
2021-07-05,130690440.26,-0.09745091579030785,0,130690440.26,3293.21,1047.33
2021-07-09,130690440.26,-0.09745091579030785,0,130690440.26,3217.95,1028.93
2021-07-12,130690440.26,-0.09745091579030785,0,130690440.26,3246.47,1034.64
2021-07-16,130690440.26,-0.09745091579030785,0,130690440.26,3276.91,1051.98
2021-07-19,130690440.26,-0.09745091579030785,0,130690440.26,3244.04,1049.83
2021-07-23,130690440.26,-0.09745091579030785,0,130690440.26,3254.42,1055.5
2021-07-26,130690440.26,-0.09745091579030785,0,130690440.26,3224.95,1047.63
2021-07-30,130690440.26,-0.09745091579030785,0,130690440.26,3202.32,1031.14
2021-08-02,130690440.26,-0.09745091579030785,0,130690440.26,3223.04,1037.8
2021-08-06,130690440.26,-0.09745091579030785,0,130690440.26,3270.36,1059.8
2021-08-09,130690440.26,-0.09745091579030785,0,130690440.26,3260.42,1060.0
2021-08-13,130690440.26,-0.09745091579030785,0,130690440.26,3171.29,1040.78
2021-08-16,130690440.26,-0.09745091579030785,0,130690440.26,3171.29,1040.78
2021-08-20,130690440.26,-0.09745091579030785,0,130690440.26,3060.51,967.9
2021-08-23,130690440.26,-0.09745091579030785,0,130690440.26,3090.21,993.18
2021-08-27,130690440.26,-0.09745091579030785,0,130690440.26,3133.9,1023.51
2021-08-30,130690440.26,-0.09745091579030785,0,130690440.26,3144.19,1031.84
2021-09-03,130444445.29,-0.09914975875427667,3,103280384.82,3201.06,1053.85
2021-09-06,131012522.11,-0.09522661630688933,3,103280384.82,3203.33,1052.96
2021-09-10,130797162.44,-0.09671389167720335,5,84075706.52,3125.76,1037.91
2021-09-13,132373799.04,-0.0858256284145612,5,84075706.52,3127.86,1026.34
2021-09-17,137018651.53,-0.05374824499769859,6,75177943.7,3140.51,1046.12
2021-09-20,137081339.8,-0.053315319371565195,7,65910527.5,3140.51,1046.12
2021-09-24,139530608.41,-0.036400653413280804,7,65910527.5,3125.24,1037.03
2021-09-27,141065995.69,-0.02579725823981338,6,74436550.4,3133.64,1034.82
2021-10-01,135729261.73,-0.06265277987311979,3,102677033.05,3019.18,983.2
2021-10-04,135729261.73,-0.06265277987311979,3,102677033.05,3019.18,983.2
2021-10-08,136961526.16,-0.054142753197962246,2,111958689.9,2956.3,953.11
2021-10-11,136961526.16,-0.054142753197962246,2,111958689.9,2956.3,953.11
2021-10-15,134169449.58,-0.07342485336771443,2,111958689.9,3015.06,990.54
2021-10-18,133498718.69,-0.07805692553241383,1,121925555.58,3006.68,993.86
2021-10-22,132555195.02,-0.08457290652225902,1,121925555.58,3006.16,995.07
2021-10-25,132047982.88,-0.08807571706866402,1,121925555.58,3020.54,994.31
2021-10-29,131966174.47,-0.08864068651386026,1,121925555.58,2970.68,992.33
2021-11-01,131998897.83,-0.0884146987634058,1,121925555.58,2978.94,998.57
2021-11-05,133335101.86,-0.0791868644918664,1,121925555.58,2969.27,1001.35
2021-11-08,133395094.7,-0.07877255352395307,1,121925555.58,2960.2,1002.5
2021-11-12,134453150.14,-0.07146561533845719,1,121925555.58,2968.8,1009.07
2021-11-15,134584043.59,-0.07056166426757904,1,121925555.58,2999.52,1029.03
2021-11-19,135451212.74,-0.06457298812087431,1,121925555.58,2971.02,1041.92
2021-11-22,134594951.38,-0.0704863349944076,1,121925555.58,3013.25,1032.31
2021-11-26,134649490.32,-0.07010968869761003,1,121925555.58,2936.44,1005.89
2021-11-29,134442242.35,-0.07154094461162863,1,121925555.58,2909.32,992.34
2021-12-03,133433271.96,-0.07850890110238284,1,121925555.58,2968.33,998.47
2021-12-06,132975144.86,-0.08167273002310604,1,121925555.58,2973.25,991.87
2021-12-10,133155123.36,-0.08042979725748622,1,121925555.58,3010.23,1011.57
2021-12-13,133013322.12,-0.0814090776015357,1,121925555.58,3001.66,1005.96
