ticker,name,entry_date,entry_type,entry_price,shares,entry_rs,ca_pass,exit_date,exit_price,exit_reason,pnl_%,pnl_$,hold_days
200130.KQ,콜마비앤에이치,2020-09-01,regular,67900,123.3867,96,Y,2020-09-07,62468.0,손절(-8%),-8.0,-670236.59,6
285130.KS,SK케미칼,2020-05-18,regular,63650,126.823,97,Y,2020-09-21,211169.0,50EMA이탈(+232%),231.77,18708795.72,126
095700.KQ,제넥신,2020-08-24,regular,97544,67.2132,96,N,2020-09-21,113670.0,21EMA이탈(+17%),16.53,1083879.49,28
009830.KS,한화솔루션,2020-08-31,regular,43743,195.6484,96,N,2020-09-21,44940.0,21EMA이탈(+3%),2.74,234191.1,21
035720.KS,카카오,2020-05-25,regular,50379,215.5942,97,N,2020-09-22,70853.0,50EMA이탈(+41%),40.64,4414075.36,120
237690.KQ,에스티팜,2020-09-21,regular,76700,106.5807,97,N,2020-09-22,70564.0,손절(-8%),-8.0,-653979.25,1
009830.KS,한화솔루션,2020-09-29,regular,45112,108.7254,96,N,2020-10-19,49275.0,21EMA이탈(+9%),9.23,452623.67,20
096530.KQ,씨젠,2020-11-17,regular,112172,60.4594,99,N,2020-11-18,103198.24,손절(-8%),-8.0,-542548.36,1
006280.KS,녹십자,2020-11-17,regular,378500,14.1763,97,N,2020-11-25,348220.0,손절(-8%),-8.0,-429258.9,8
271980.KS,제일약품,2020-12-07,regular,80800,45.4944,96,N,2020-12-10,70000.0,손절(갭-13%),-13.37,-491339.29,3
009830.KS,한화솔루션,2020-11-17,regular,55207,126.4164,98,N,2020-12-22,50188.0,손절(갭-9%),-9.09,-634483.74,35
217270.KQ,넵튠,2020-12-14,regular,22850,156.2576,99,N,2020-12-28,24500.0,21EMA이탈(+7%),7.22,257825.09,14
091990.KS,셀트리온헬스케어,2020-12-28,regular,157207,45.0131,97,N,2021-01-04,144630.44,손절(-8%),-8.0,-566110.14,7
048530.KQ,인트론바이오,2021-01-11,regular,31950,208.3304,96,N,2021-01-11,29394.0,손절(-8%),-8.0,-532492.49,0
204320.KS,HL만도,2021-01-11,regular,81000,118.2936,98,Y,2021-01-12,74520.0,손절(-8%),-8.0,-766542.83,1
011210.KS,현대위아,2021-01-11,regular,87700,124.8356,96,N,2021-01-12,80684.0,손절(-8%),-8.0,-875846.47,1
008930.KS,한미사이언스,2021-01-12,regular,77143,82.7984,96,N,2021-01-18,70971.56,손절(-8%),-8.0,-510985.11,6
066570.KS,LG전자,2021-01-25,regular,177500,33.0525,97,N,2021-01-28,163300.0,손절(-8%),-8.0,-469345.12,3
112610.KS,씨에스윈드,2020-11-17,regular,55752,109.5525,98,N,2021-02-22,77000.0,50EMA이탈(+38%),38.11,2327772.37,97
268600.KS,셀리버리,2021-01-25,regular,72525,116.4195,97,Y,2021-02-23,67950.0,21EMA이탈(-6%),-6.31,-532619.24,29
307950.KS,현대오토에버,2020-12-07,regular,92200,89.7003,96,Y,2021-03-05,122500.0,50EMA이탈(+33%),32.86,2717920.37,88
048260.KS,오스템임플란트,2021-09-06,regular,1366850,8.2046,99,Y,2021-09-16,1257502.0,손절(-8%),-8.0,-897160.3,10
007690.KS,국도화학,2021-09-23,regular,88700,104.4805,97,N,2021-09-27,81604.0,손절(-8%),-8.0,-741393.3,4
011200.KS,HMM,2021-09-06,regular,38900,242.0193,99,Y,2021-09-30,35788.0,손절(-8%),-8.0,-753164.17,24
002380.KS,케이씨씨,2021-09-13,regular,459500,21.9925,98,N,2021-09-29,422740.0,손절(-8%),-8.0,-808444.66,16
120110.KS,코오롱인더,2021-09-23,regular,106500,104.9396,98,N,2021-10-01,97980.0,손절(-8%),-8.0,-894085.32,8
247540.KQ,에코프로비엠,2021-09-13,regular,99796,91.1772,99,N,2021-10-06,101798.0,21EMA이탈(+2%),2.01,182536.76,23
194480.KQ,데브시스터즈,2021-09-06,regular,84500,80.2485,99,N,2021-10-18,124200.0,50EMA이탈(+47%),46.98,3185866.08,42
066970.KS,엘앤에프,2021-09-23,regular,147400,54.5389,98,N,2021-12-14,199700.0,50EMA이탈(+35%),35.48,2852386.57,82
112040.KQ,위메이드,2022-03-14,regular,103700,56.9681,99,N,2022-03-15,95404.0,손절(-8%),-8.0,-472607.09,1
121800.KQ,비덴트,2022-03-29,regular,21750,388.9722,98,N,2022-03-29,20010.0,손절(-8%),-8.0,-676811.71,0
041510.KQ,에스엠,2022-04-04,regular,86200,114.8169,99,N,2022-04-06,79304.0,손절(-8%),-8.0,-791777.39,2
249420.KS,일동제약,2022-03-14,regular,42950,72.7764,99,N,2022-04-13,45200.0,50EMA이탈(+5%),5.24,163746.96,30
005070.KS,코스모신소재,2022-04-25,regular,57194,173.6175,97,Y,2022-04-25,52618.48,손절(-8%),-8.0,-794390.39,0
011070.KS,LG이노텍,2022-03-21,regular,384500,32.1052,98,Y,2022-04-27,353740.0,손절(-8%),-8.0,-987554.58,37
247540.KQ,에코프로비엠,2022-04-11,regular,116573,99.4451,97,Y,2022-04-27,106492.0,손절(갭-9%),-8.65,-1002505.78,16
222800.KQ,심텍,2022-03-21,regular,53100,190.9134,99,N,2022-05-02,48852.0,손절(-8%),-8.0,-811000.01,42
272290.KQ,이녹스첨단소재,2022-03-29,regular,52200,256.7113,96,N,2022-05-02,48024.0,손절(-8%),-8.0,-1072026.26,34
016380.KS,KG스틸,2022-04-25,regular,23200,274.5947,99,Y,2022-05-04,21344.0,손절(-8%),-8.0,-509647.75,9
014830.KS,유니드,2022-04-25,regular,153727,69.4125,96,Y,2022-05-03,141428.84,손절(-8%),-8.0,-853646.29,8
066970.KS,엘앤에프,2022-04-04,regular,227200,50.4268,99,Y,2022-05-10,209024.0,손절(-8%),-8.0,-916556.72,36
195870.KS,해성디에스,2022-04-18,regular,66200,193.8037,96,Y,2022-05-10,60904.0,손절(-8%),-8.0,-1026384.35,22
121600.KQ,나노신소재,2022-05-23,regular,89800,93.0725,99,N,2022-05-25,82616.0,손절(-8%),-8.0,-668632.57,2
353200.KS,대덕전자,2022-05-23,regular,33450,293.9631,99,Y,2022-06-03,30774.0,손절(-8%),-8.0,-786645.28,11
090460.KS,비에이치,2022-04-18,regular,27600,420.9311,96,N,2022-06-13,25392.0,손절(-8%),-8.0,-929415.86,56
137400.KQ,피엔티,2022-05-30,regular,59800,186.4195,99,N,2022-06-13,54200.0,손절(갭-9%),-9.36,-1043949.3,14
001120.KS,LX인터내셔널,2022-06-13,regular,40550,375.843,96,Y,2022-06-17,37306.0,손절(-8%),-8.0,-1219234.73,4
047810.KS,한국항공우주,2022-05-23,regular,48250,255.4498,97,N,2022-06-22,51500.0,21EMA이탈(+7%),6.74,830211.88,30
079550.KS,LIG넥스원,2022-06-07,regular,81000,136.8094,96,Y,2022-06-21,74520.0,손절(-8%),-8.0,-886524.89,14
205470.KQ,휴마시스,2022-07-25,regular,28380,175.4476,98,Y,2022-07-28,26109.6,손절(-8%),-8.0,-398336.15,3
196170.KQ,알테오젠,2022-08-08,regular,62392,170.9209,96,N,2022-08-18,57400.64,손절(-8%),-8.0,-853127.52,10
145720.KS,덴티움,2022-08-16,regular,99100,112.9713,98,N,2022-08-19,91172.0,손절(-8%),-8.0,-895636.35,3
121600.KQ,나노신소재,2022-07-19,regular,72300,101.298,98,N,2022-08-23,84100.0,21EMA이탈(+16%),16.32,1195316.86,35
323990.KQ,박셀바이오,2022-08-08,regular,52475,119.6579,97,Y,2022-08-29,58030.0,21EMA이탈(+11%),10.59,664699.4,21
086520.KQ,에코프로,2022-08-08,regular,21935,359.0141,96,Y,2022-08-29,19837.0,손절(갭-10%),-9.56,-753211.55,21
100090.KS,SK오션플랜트,2022-08-08,regular,25750,470.6321,97,N,2022-09-01,25800.0,21EMA이탈(+0%),0.19,23531.61,24
137400.KQ,피엔티,2022-08-08,regular,49800,232.4149,96,N,2022-09-02,47400.0,RS하락(84),-4.82,-557795.76,25
047810.KS,한국항공우주,2022-07-19,regular,52000,154.9596,98,N,2022-09-08,55500.0,21EMA이탈(+7%),6.73,542358.74,51
005070.KS,코스모신소재,2022-08-08,regular,55120,189.9963,96,Y,2022-09-19,60652.0,21EMA이탈(+10%),10.04,1051059.41,42
353200.KS,대덕전자,2022-07-19,regular,28700,317.5935,97,Y,2022-09-22,26404.0,손절(-8%),-8.0,-729194.61,65
006400.KS,삼성SDI,2022-11-15,regular,740148,15.605,97,Y,2022-11-21,680936.16,손절(-8%),-8.0,-923998.79,6
012450.KS,한화에어로스페이스,2022-11-15,regular,72730,124.6078,97,Y,2022-12-08,66911.6,손절(-8%),-8.0,-725018.23,23
003670.KS,포스코퓨처엠,2022-10-31,regular,196285,48.856,99,N,2022-12-12,180582.2,손절(-8%),-8.0,-767176.35,42
001120.KS,LX인터내셔널,2022-10-31,regular,41900,241.2549,98,Y,2022-12-12,38548.0,손절(-8%),-8.0,-808686.36,42
282330.KS,BGF리테일,2022-12-12,regular,207000,49.7187,97,N,2023-01-05,190440.0,손절(-8%),-8.0,-823342.34,24
079550.KS,LIG넥스원,2023-01-02,regular,93500,133.3222,96,Y,2023-01-03,86020.0,손절(-8%),-8.0,-997250.29,1
048260.KS,오스템임플란트,2023-01-25,regular,1878000,4.9993,98,Y,2023-02-23,1727760.0,손절(-8%),-8.0,-751097.95,29
086520.KQ,에코프로,2023-02-06,regular,27174,399.7037,96,Y,2023-09-06,206014.0,50EMA이탈(+658%),658.13,71483017.99,212
065350.KQ,신성델타테크,2023-10-16,regular,57100,112.24,99,N,2023-10-16,52532.0,손절(-8%),-8.0,-512712.5,0
009420.KS,한올바이오파마,2023-10-16,regular,36100,253.3954,99,N,2023-10-18,33212.0,손절(-8%),-8.0,-731805.94,2
006740.KS,블루산업개발,2023-10-16,regular,110463,103.9025,99,N,2023-10-18,101625.96,손절(-8%),-8.0,-918190.52,2
328130.KQ,루닛,2023-10-16,regular,35762,150.8341,99,Y,2023-10-19,32127.0,손절(갭-10%),-10.16,-548282.07,3
001570.KS,금양,2023-10-16,regular,113500,84.3822,99,N,2023-10-20,104420.0,손절(-8%),-8.0,-766190.05,4
298040.KS,효성중공업,2023-10-16,regular,173100,70.1424,99,Y,2023-10-23,159252.0,손절(-8%),-8.0,-971331.77,7
192820.KS,코스맥스,2023-10-23,regular,127600,103.387,98,N,2023-11-14,117392.0,손절(-8%),-8.0,-1055374.9,22
112040.KQ,위메이드,2023-11-14,regular,57500,193.3712,97,N,2023-11-17,52900.0,손절(-8%),-8.0,-889507.6,3
003230.KS,삼양식품,2023-10-23,regular,187400,75.6638,98,N,2023-12-08,203500.0,21EMA이탈(+9%),8.59,1218187.45,46
068270.KS,셀트리온,2024-01-08,regular,186772,76.1377,96,N,2024-01-12,171830.24,손절(-8%),-8.0,-1137631.01,4
161390.KS,한국타이어앤테크놀로지,2024-02-26,regular,58400,277.7131,97,Y,2024-02-26,53728.0,손절(-8%),-8.0,-1297475.55,0
185750.KS,종근당,2023-11-13,regular,108941,113.9471,97,N,2024-02-29,103360.0,RS하락(86),-5.12,-635938.91,108
002710.KS,TCC스틸,2024-02-19,regular,66500,185.2793,99,Y,2024-03-04,65400.0,21EMA이탈(-2%),-1.65,-203807.26,14
009420.KS,한올바이오파마,2024-02-26,regular,36800,335.9316,96,N,2024-03-04,33856.0,손절(-8%),-8.0,-988982.59,7
012510.KS,더존비즈온,2024-02-05,regular,47900,173.3278,98,N,2024-03-06,44068.0,손절(-8%),-8.0,-664192.16,30
145020.KQ,휴젤,2024-03-05,regular,202500,72.1631,96,Y,2024-03-19,186300.0,손절(-8%),-8.0,-1169041.54,14
031980.KS,피에스케이홀딩스,2024-02-13,regular,34400,326.8402,99,N,2024-04-02,42250.0,21EMA이탈(+23%),22.82,2565695.88,49
065350.KQ,신성델타테크,2024-02-05,regular,87000,63.7665,99,N,2024-04-11,93700.0,50EMA이탈(+8%),7.7,427235.74,66
095340.KQ,ISC,2024-03-11,regular,91500,147.0951,97,Y,2024-04-19,84180.0,손절(-8%),-8.0,-1076736.41,39
000150.KS,두산,2024-03-18,regular,144300,93.6611,97,Y,2024-04-16,140400.0,21EMA이탈(-3%),-2.7,-365278.31,29
196170.KQ,알테오젠,2024-02-05,regular,79000,100.0289,98,N,2024-05-13,164400.0,50EMA이탈(+108%),108.1,8542471.45,98
004490.KS,세방전지,2024-05-13,regular,117600,146.3656,99,N,2024-05-14,108192.0,손절(-8%),-8.0,-1377007.86,1
028300.KQ,HLB,2024-05-13,regular,99600,108.6705,99,N,2024-05-17,67100.0,손절(갭-33%),-32.63,-3531792.5,4
047920.KQ,HLB제약,2024-05-13,regular,29600,312.594,99,N,2024-05-17,21600.0,손절(갭-27%),-27.03,-2500752.06,4
298040.KS,효성중공업,2024-05-13,regular,327000,26.1659,99,Y,2024-05-16,300840.0,손절(-8%),-8.0,-684500.54,3
317330.KQ,덕산테코피아,2024-05-14,regular,37950,273.5656,99,N,2024-05-22,34914.0,손절(-8%),-8.0,-830545.04,8
080220.KQ,제주반도체,2024-05-20,regular,22850,592.4858,99,N,2024-05-24,21022.0,손절(-8%),-8.0,-1083064.1,4
229640.KS,LS에코에너지,2024-05-27,regular,42300,193.6004,99,N,2024-05-29,38916.0,손절(-8%),-8.0,-655143.7,2
030520.KQ,한글과컴퓨터,2024-05-28,regular,28000,340.9923,98,N,2024-05-30,25700.0,손절(갭-8%),-8.21,-784282.19,2
042700.KS,한미반도체,2024-05-14,regular,140100,93.6023,99,N,2024-06-03,146700.0,21EMA이탈(+5%),4.71,617775.41,20
010120.KS,엘에스일렉트릭,2024-05-13,regular,35920,240.1898,99,Y,2024-06-05,38040.0,21EMA이탈(+6%),5.9,509202.28,23
001680.KS,대상,2024-06-18,regular,30450,684.0438,96,N,2024-06-19,28014.0,손절(-8%),-8.0,-1666330.8,1
000150.KS,두산,2024-05-13,regular,162900,64.9912,98,Y,2024-06-24,203000.0,21EMA이탈(+25%),24.62,2606147.71,42
137400.KQ,피엔티,2024-06-10,regular,79400,182.6548,97,N,2024-06-24,73048.0,손절(-8%),-8.0,-1160223.31,14
005180.KS,빙그레,2024-05-28,regular,89800,168.1309,98,Y,2024-06-27,96300.0,21EMA이탈(+7%),7.24,1092850.62,30
011790.KS,SKC,2024-06-03,regular,137136,102.9018,96,N,2024-06-26,149261.0,21EMA이탈(+9%),8.84,1247684.49,23
003230.KS,삼양식품,2024-05-20,regular,487500,33.2489,99,Y,2024-07-01,615000.0,21EMA이탈(+26%),26.15,4239236.11,42
280360.KS,롯데웰푸드,2024-06-25,regular,183000,86.3972,98,Y,2024-07-01,168360.0,손절(-8%),-8.0,-1264854.9,6
018290.KQ,브이티,2024-05-13,regular,25100,465.1142,99,N,2024-07-03,29350.0,50EMA이탈(+17%),16.93,1976735.44,51
192820.KS,코스맥스,2024-05-28,regular,165500,96.5051,96,N,2024-07-03,179000.0,21EMA이탈(+8%),8.16,1302818.96,36
